id,group,aff,strength,polviews_cat,age,sex,edu,wordsum,wordsum_cat,sci_knowledge,sci_kn_cat,oth_att,oth_att_cat
649,2,lib,reg,lib,31,female,<bach,3,lower,5,higher,1,higher
176,2,lib,reg,lib,31,male,<bach,4,lower,3,mid,0.5833333333333334,lower
836,2,lib,reg,lib,30,male,<bach,4,lower,4,mid,0.5,lower
733,2,lib,reg,lib,29,female,bach,4,lower,4,mid,0.6666666666666666,mid
917,2,lib,reg,lib,21,female,bach,5,lower,3,mid,0.75,mid
177,2,lib,reg,lib,30,male,bach,5,lower,3,mid,0.5833333333333334,lower
894,2,lib,reg,lib,22,female,bach,5,lower,3,mid,0.5833333333333334,lower
385,2,lib,reg,lib,33,female,<bach,5,lower,3,mid,1,higher
364,2,lib,reg,lib,39,female,bach,5,lower,3,mid,0.5833333333333334,lower
627,2,lib,reg,lib,25,female,<bach,5,lower,3,mid,0.6666666666666666,mid
329,2,lib,reg,lib,36,female,bach,5,lower,3,mid,0.5833333333333334,lower
346,2,lib,reg,lib,35,male,bach,5,lower,3,mid,0.75,mid
184,2,lib,reg,lib,31,female,bach,6,lower,4,mid,1,higher
241,2,lib,reg,lib,40,male,grad,6,lower,3,mid,0.9166666666666666,higher
876,2,lib,reg,lib,33,female,<bach,6,lower,2,lower,0.6666666666666666,mid
653,2,lib,reg,lib,22,female,<bach,6,lower,0,lower,0.6666666666666666,mid
859,2,lib,reg,lib,33,female,<bach,6,lower,3,mid,0.6666666666666666,mid
600,2,lib,reg,lib,24,male,bach,6,lower,4,mid,0.5,lower
644,2,lib,reg,lib,30,female,<bach,6,lower,3,mid,0.9166666666666666,higher
35,2,lib,reg,lib,25,female,<bach,6,lower,2,lower,0.75,mid
604,2,lib,reg,lib,60,female,<bach,6,lower,2,lower,1,higher
714,2,lib,reg,lib,31,male,bach,6,lower,4,mid,0.8333333333333334,higher
805,2,lib,reg,lib,26,female,<bach,6,lower,3,mid,1,higher
248,2,lib,reg,lib,49,male,bach,6,lower,4,mid,0.5,lower
503,2,lib,reg,lib,33,female,bach,6,lower,4,mid,0.9166666666666666,higher
781,2,lib,reg,lib,23,female,<bach,6,lower,2,lower,0.6666666666666666,mid
48,2,lib,reg,lib,32,female,<bach,6,lower,4,mid,0.8333333333333334,higher
37,2,lib,reg,lib,32,male,bach,6,lower,4,mid,0.75,mid
776,2,lib,reg,lib,18,female,<bach,6,lower,3,mid,0.6666666666666666,mid
927,2,lib,reg,lib,34,female,bach,6,lower,2,lower,0.75,mid
472,2,lib,reg,lib,41,female,grad,6,lower,4,mid,1,higher
606,2,lib,reg,lib,26,male,<bach,6,lower,4,mid,0.8333333333333334,higher
38,2,lib,reg,lib,23,female,bach,6,lower,5,higher,0.6666666666666666,mid
958,2,lib,reg,lib,35,female,bach,6,lower,4,mid,0.8333333333333334,higher
28,2,lib,reg,lib,40,male,bach,6,lower,5,higher,0.8333333333333334,higher
858,2,lib,reg,lib,35,male,grad,7,lower,5,higher,0.75,mid
259,2,lib,reg,lib,34,female,<bach,7,lower,4,mid,0.9166666666666666,higher
856,2,lib,reg,lib,25,female,bach,7,lower,3,mid,0.5833333333333334,lower
293,2,lib,reg,lib,20,female,<bach,7,lower,4,mid,0.75,mid
855,2,lib,reg,lib,46,female,bach,7,lower,5,higher,0.5,lower
951,2,lib,reg,lib,30,male,bach,7,lower,3,mid,0.8333333333333334,higher
201,2,lib,reg,lib,40,female,bach,7,lower,1,lower,0.9166666666666666,higher
219,2,lib,reg,lib,32,female,<bach,7,lower,1,lower,0.9166666666666666,higher
594,2,lib,reg,lib,25,female,bach,7,lower,2,lower,0.8333333333333334,higher
136,2,lib,reg,lib,32,male,bach,7,lower,4,mid,0.75,mid
268,2,lib,reg,lib,47,female,bach,7,lower,3,mid,0.6666666666666666,mid
179,2,lib,reg,lib,45,male,grad,7,lower,5,higher,0.6666666666666666,mid
363,2,lib,reg,lib,42,female,<bach,7,lower,2,lower,0.9166666666666666,higher
488,2,lib,reg,lib,28,male,<bach,7,lower,4,mid,0.75,mid
482,2,lib,reg,lib,36,female,bach,7,lower,4,mid,0.6666666666666666,mid
326,2,lib,reg,lib,32,female,<bach,7,lower,0,lower,0.9166666666666666,higher
141,2,lib,reg,lib,33,female,grad,7,lower,3,mid,0.4166666666666667,lower
356,2,lib,reg,lib,29,male,bach,7,lower,3,mid,0.75,mid
371,4,lib,reg,lib,44,female,<bach,8,higher,4,mid,0.5833333333333334,lower
709,4,lib,reg,lib,37,female,<bach,8,higher,4,mid,1,higher
798,4,lib,reg,lib,32,male,bach,8,higher,4,mid,0.8333333333333334,higher
941,4,lib,reg,lib,56,male,<bach,8,higher,5,higher,0.75,mid
375,4,lib,reg,lib,31,female,<bach,8,higher,3,mid,0.75,mid
889,4,lib,reg,lib,32,female,<bach,8,higher,3,mid,0.5833333333333334,lower
521,4,lib,reg,lib,57,female,<bach,8,higher,5,higher,1,higher
90,4,lib,reg,lib,26,female,bach,8,higher,5,higher,0.6666666666666666,mid
892,4,lib,reg,lib,29,male,bach,8,higher,4,mid,0.75,mid
174,4,lib,reg,lib,29,female,<bach,8,higher,5,higher,0.75,mid
72,4,lib,reg,lib,37,male,bach,8,higher,1,lower,0.5833333333333334,lower
795,4,lib,reg,lib,51,female,<bach,8,higher,3,mid,1,higher
253,4,lib,reg,lib,61,female,<bach,8,higher,5,higher,0.75,mid
808,4,lib,reg,lib,38,female,<bach,8,higher,3,mid,0.75,mid
216,4,lib,reg,lib,42,female,bach,8,higher,3,mid,0.6666666666666666,mid
701,4,lib,reg,lib,63,female,<bach,8,higher,3,mid,0.75,mid
638,4,lib,reg,lib,30,male,<bach,8,higher,4,mid,0.8333333333333334,higher
